,Year,Wheat
2280,1961,100490190.0
2281,1962,65667436.0
2282,1963,99416080.0
2283,1964,98976620.0
2284,1965,85753760.0
2285,1966,88166330.0
2286,1967,126152040.0
2287,1968,114625920.0
2288,1969,89248696.0
2289,1970,113071180.0
2290,1971,83696680.0
2291,1972,111209700.0
2292,1973,125189320.0
2293,1974,128756230.0
2294,1975,141491070.0
2295,1976,155650910.0
2296,1977,137106540.0
2297,1978,145832350.0
2298,1979,150139400.0
2299,1980,154170350.0
2300,1981,78170.0
2301,1982,67300.0
2302,1983,52600.0
2303,1984,47200.0
2304,1985,61300.0
2305,1986,62727.0
2306,1987,78543.0
2307,1988,82910.0
2308,1989,94099.0
2309,1990,81000.0
2310,1991,68493.0
2311,1992,50640.0
2312,1993,45189.0
2313,1994,54989.0
2314,1995,64647.0
2315,1996,65000.0
2316,1997,39800.0
2317,1998,28904.0
2318,1999,31248.0
2319,2000,31113.0
2320,2001,41431.0
2321,2002,38538.0
2322,2003,26914.0
2323,2004,25172.0
2324,2005,18464.0
2325,2006,33006.0
2326,2007,31368.0
2327,2008,34198.0
2328,2009,25634.0
2329,2010,29907.0
2330,2011,17059.0
2331,2012,23997.0
2332,2013,25528.0
2333,2014,19836.0
2334,2015,19763.0
2335,2016,20431.4
2336,2017,19302.0
2337,2018,19787.0
2338,2019,19011.0
2339,2020,12958.0
2340,2021,13631.0
