Country,Maize
United States,13453125310.0
China,6662157240.0
Brazil,2185253306.0
Argentina,992881545.0
Mexico,964068698.0
India,735631730.0
France,695387212.0
Indonesia,568262574.0
Romania,568177315.0
South Africa,565565957.0
Canada,435988796.0
Ukraine,428490419.0
Italy,421486991.0
Hungary,375884462.0
USSR,353064008.0
Egypt,291988129.0
Nigeria,285260659.0
Philippines,266910308.5
Yugoslavia,261512914.0
Thailand,211643496.0
Spain,181811640.0
Russia,180698769.0
Tanzania,167766252.0
Turkey,160624000.0
Ethiopia,153229241.0
Kenya,147422025.5
Pakistan,137583512.0
Germany,135119044.0
North Korea,131638134.4
Bulgaria,128400928.75
Vietnam,116499440.0
Malawi,113892063.0
Serbia,98570329.5
Greece,92102493.7
Austria,88863387.2
Zambia,86019890.9
Zimbabwe,85920259.75
Nepal,81408058.0
Paraguay,80311845.5
Serbia and Montenegro,74649030.0
Poland,72399933.0
Guatemala,72257126.5
Venezuela,71045783.9
Colombia,68432653.4
Uganda,68360020.0
Democratic Republic of Congo,63201310.5
Ghana,59168493.4
Peru,58469034.7
Croatia,56725884.0
Cameroon,52105612.6
Mozambique,49752853.0
Chile,46110030.05
Angola,43956202.0
Mali,42781302.0
Moldova,41424703.2
Portugal,40240474.0
Iran,38666598.46
Benin,38502310.4
Ethiopia (former),36475249.0
Ecuador,36223486.9
Myanmar,36033560.1
Bolivia,34801788.8
Bangladesh,34120509.0
El Salvador,33675183.56
Burkina Faso,31907518.5
Cote d'Ivoire,30757692.0
Afghanistan,29929795.0
Honduras,29439270.63
Slovakia,29182327.1
Bosnia and Herzegovina,24788984.2
Togo,22717418.0
Czechoslovakia,22227149.0
Laos,19640239.0
Nicaragua,18296387.86
Guinea,17617422.0
Cambodia,16843065.0
Czechia,16441175.44
Australia,16212036.44
Albania,16198603.8
Kazakhstan,14572270.84
Morocco,14544204.73
Uruguay,14443440.0
Haiti,13397412.13
Belgium,13317111.0
Kyrgyzstan,13233530.2
Belarus,12552280.0
Madagascar,12442451.0
Cuba,11375587.6
Taiwan,10722180.33
Senegal,9847792.05
Iraq,9819161.0
Rwanda,9592954.48
Slovenia,9364992.0
New Zealand,9362850.78
Georgia,9344076.0
Somalia,9107607.0
Burundi,8995252.0
Switzerland,8608071.0
Uzbekistan,8355181.0
Chad,7468002.48
Syria,7283678.54
Lesotho,5928114.69
Panama,5358132.0
Eswatini,5150131.0
Netherlands,4968170.0
South Korea,4863097.0
Central African Republic,4591935.25
Sri Lanka,4412022.95
Azerbaijan,4314838.8
North Macedonia,4185666.0
Bhutan,3938936.92
East Timor,3807840.1
Tajikistan,3703360.7
Israel,3395503.0
Costa Rica,3011387.3
Yemen,2865351.0
Dominican Republic,2651893.8
Malaysia,2318612.06
Namibia,2120921.64
Sudan (former),1975382.0
Belize,1969140.59
Saudi Arabia,1963806.0
South Sudan,1747011.0
Gabon,1403730.25
Lithuania,1267281.73
Turkmenistan,1180591.68
Sierra Leone,1041328.65
Gambia,1036244.0
Japan,878378.19
Botswana,868148.95
Guinea-Bissau,676552.0
Denmark,620410.0
Reunion,594378.0
Congo,586792.15
Niger,563773.7
Oman,562763.89
Cape Verde,490396.4
Mauritania,453731.0
Eritrea,426063.0
Kuwait,365982.43
Sudan,364950.95
Armenia,358714.8
Papua New Guinea,288975.96
Comoros,260763.57
Jamaica,224079.09
Lebanon,220451.03
Trinidad and Tobago,200756.62
United Arab Emirates,189218.01
Guyana,182816.69
New Caledonia,169766.2
Algeria,169628.5
Libya,111354.29
Jordan,109535.0
Puerto Rico,103558.93
Sao Tome and Principe,88064.33
Barbados,65526.56
Mauritius,64468.0
Fiji,59880.88
Saint Vincent and the Grenadines,48965.42
Montenegro,44478.83
Sweden,43300.0
Luxembourg,40588.0
Vanuatu,40274.4
Qatar,33907.8
United Kingdom,33680.0
Bahamas,32751.93
Grenada,24269.6
Suriname,15551.0
Guadeloupe,13396.0
Dominica,11022.1
French Guiana,9694.0
Antigua and Barbuda,2874.48
Maldives,2793.46
Micronesia (country),2040.83
Saint Lucia,595.0
Djibouti,467.96999999999997
Estonia,0.0
Malta,0.0
Latvia,0.0
Finland,0.0
Ireland,0.0
