Country,Rice
Asia,28167504010.0
South Africa,17602150794.4
Armenia,17545392400.0
Western Africa (FAO),15905210324.816
South America,13385584933.0
Argentina,9920525521.0
Canada,9916128458.0
Iran,8575065380.0
Sao Tome and Principe,8170721628.0
Indonesia,7690400390.0
Northern America (FAO),7065370254.0
Cape Verde,6992117973.0
Congo,6702812642.4
Gambia,6471966912.0
India,6050782633.0
Hungary,5111772430.0
Oceania (FAO),4891361930.5
Costa Rica,4827437879.0
Oceania,4501690636.51
Saudi Arabia,4494950314.0
Libya,4139728074.0
Cameroon,2950662680.4
World,2815761327.47
Yemen,2646561010.226
Southern Africa (FAO),2525944685.642
Upper-middle-income countries,2095411808.94
High-income countries,2090692641.8
Uruguay,2052811084.48
Honduras,1978835404.0
Southern Europe (FAO),1950073590.714
USSR,1842478674.224
Americas (FAO),1593629001.0
Germany,1572786546.0
Trinidad and Tobago,1566987152.08
United States,1422600809.48
Turkey,1403002906.878
Thailand,1359404181.764
Switzerland,1351795314.028
Vietnam,1323295386.76
Austria,1290175499.0
Fiji,1157547004.0
North Korea,1029524489.0
Lesotho,1029442992.5
Africa (FAO),969260995.0
Africa,968862261.0
Southern Asia (FAO),965673514.484
Western Asia (FAO),961261674.2008
Lebanon,922226931.0
Western Europe (FAO),901533451.214
Venezuela,885942238.298
Suriname,875188845.766
Georgia,872231634.0
European Union (27) (FAO),837768000.1
Turkmenistan,780525784.442
Sierra Leone,772594111.9
Puerto Rico,769598111.0
Asia (FAO),744755570.11
Sri Lanka,740887483.322
Slovakia,728020026.0
Tanzania,707423521.04
Guatemala,647486062.3
Portugal,628172225.0
Zimbabwe,623086628.974
Yugoslavia,615358781.456
Togo,595620254.84
Australia,570385704.43
Zambia,569600690.22
Syria,560439879.928
North Macedonia,557116990.0
North America,511416358.81
Spain,471875967.86
Maldives,409510590.0
Sudan (former),390181599.172
Northern Europe (FAO),384820135.81
Madagascar,379626612.0
Mauritius,357863725.0
Northern Africa (FAO),348797529.0
Small Island Developing States (FAO),298823248.0
South-eastern Asia (FAO),277481486.536
Guyana,275466882.5
Saint Vincent and the Grenadines,275143442.0
Haiti,269280795.0
Lower-middle-income countries,251179040.0
Malaysia,245564119.7
Montenegro,245546251.0
Moldova,241100623.0
Vanuatu,230365333.372
Belgium,230041859.0
Cuba,217514358.0
Dominica,216195861.6
Luxembourg,197631939.0
Belarus,188698831.94
Least Developed Countries (FAO),177621391.0
Guinea,172727425.6
Belgium-Luxembourg (FAO),165367586.0
