Country,Rice
South Africa,17602150794.4
Armenia,17545392400.0
Argentina,9920525521.0
Canada,9916128458.0
Iran,8575065380.0
Sao Tome and Principe,8170721628.0
Indonesia,7690400390.0
Cape Verde,6992117973.0
Congo,6702812642.4
Gambia,6471966912.0
India,6050782633.0
Hungary,5111772430.0
Costa Rica,4827437879.0
Saudi Arabia,4494950314.0
Libya,4139728074.0
Cameroon,2950662680.4
Yemen,2646561010.226
Uruguay,2052811084.48
Honduras,1978835404.0
USSR,1842478674.224
Germany,1572786546.0
Trinidad and Tobago,1566987152.08
United States,1422600809.48
Turkey,1403002906.878
Thailand,1359404181.764
Switzerland,1351795314.028
Vietnam,1323295386.76
Austria,1290175499.0
Fiji,1157547004.0
North Korea,1029524489.0
Lesotho,1029442992.5
Lebanon,922226931.0
Venezuela,885942238.298
Suriname,875188845.766
Georgia,872231634.0
Turkmenistan,780525784.442
Sierra Leone,772594111.9
Puerto Rico,769598111.0
Sri Lanka,740887483.322
Slovakia,728020026.0
Tanzania,707423521.04
Guatemala,647486062.3
Portugal,628172225.0
Zimbabwe,623086628.974
Yugoslavia,615358781.456
Togo,595620254.84
Australia,570385704.43
Zambia,569600690.22
Syria,560439879.928
North Macedonia,557116990.0
Spain,471875967.86
Maldives,409510590.0
Sudan (former),390181599.172
Madagascar,379626612.0
Mauritius,357863725.0
Guyana,275466882.5
Saint Vincent and the Grenadines,275143442.0
Haiti,269280795.0
Malaysia,245564119.7
Montenegro,245546251.0
Moldova,241100623.0
Vanuatu,230365333.372
Belgium,230041859.0
Cuba,217514358.0
Dominica,216195861.6
Luxembourg,197631939.0
Belarus,188698831.94
Guinea,172727425.6
Gabon,160293682.0
Dominican Republic,153659284.5
Bosnia and Herzegovina,147557122.0
Djibouti,147409547.6
Tajikistan,147127453.26
Panama,145721427.33
Slovenia,145515578.0
Morocco,139510287.0
East Timor,137658338.2
Philippines,127637477.0
Taiwan,125891041.90799999
Comoros,106784191.64
Uzbekistan,93617627.336
Iraq,92786641.0
Nicaragua,72338018.2
Ghana,71995558.0
Israel,70768817.5
Uganda,70736222.12
Malawi,70313226.6
Botswana,68278561.0
Italy,63148010.0
Oman,62353375.0
New Zealand,59760266.1
Burkina Faso,59047124.18
Brazil,57609288.02
Rwanda,52263828.78
Bolivia,50469866.8
Mauritania,50453946.67
Croatia,47787532.4
Grenada,45774133.0
Cote d'Ivoire,44598335.1
Pakistan,41746752.0
Jamaica,39877894.5
Mali,38287934.647
Antigua and Barbuda,38286511.0
Chad,35673163.8
Senegal,34326104.0
Burundi,33328493.85
Greece,33225098.0
Sudan,32638593.8
Chile,32451028.0
South Sudan,32101321.4
New Caledonia,30964649.6
Afghanistan,24579876.62
Somalia,24492921.0
Namibia,22683609.6
Romania,19977414.1
Kenya,19329198.45
United Arab Emirates,18945203.22
Colombia,18572593.38
United Kingdom,17639867.54
China,15524678.85
Poland,14305098.2
Peru,13712327.0
Micronesia (country),13662774.0
Denmark,13480312.82
Barbados,12534077.03
Paraguay,11640865.06
South Korea,11290093.03
Kyrgyzstan,10337047.94
Serbia and Montenegro,10194028.0
Ethiopia (former),10102501.27
Bulgaria,9799309.31
El Salvador,8985767.0
Russia,8251153.0
Eritrea,7886811.5
Cambodia,7835287.38
Serbia,7406938.0
Eswatini,7395677.83
Bhutan,6324770.25
Saint Lucia,6143575.2
Sweden,5665749.0
Bangladesh,5113509.76
Netherlands,4711467.0
Japan,4083248.0
Kazakhstan,3778068.04
Guinea-Bissau,3220963.0
Laos,3013562.3
Nepal,2943963.89
Qatar,2904001.0
Bahamas,2866529.98
Benin,2262222.0
Mozambique,2009783.0
Myanmar,1940145.45
Egypt,1882059.78
France,1589043.29
Czechia,1516385.0
Belize,1454863.26
Papua New Guinea,1284611.0
Ukraine,1066738.8
Lithuania,993727.0
Jordan,988302.37
Ethiopia,957054.12
Angola,945566.0
Central African Republic,861953.13
Czechoslovakia,819065.24
Malta,780366.0
Estonia,406065.0
Reunion,396265.2
Azerbaijan,362003.79
Albania,349860.0
Niger,316830.73
Ireland,299831.0
Kuwait,276821.98
Latvia,265000.0
Nigeria,246662.45
Democratic Republic of Congo,180664.14
Mexico,168954.72
French Guiana,122647.06
Ecuador,111670.55
Algeria,104886.32
Finland,91209.0
Guadeloupe,2172.0
