Country,Wheat
Saint Lucia,25105089310.0
Poland,12622020701.0
Asia,12160153404.0
Eastern Africa (FAO),11884365281.0
Cote d'Ivoire,11667552736.0
Western Africa (FAO),10090438724.84
Costa Rica,9341594400.0
Rwanda,9059993854.0
Armenia,7785609680.0
Chile,6400781910.0
Americas (FAO),5989465130.0
Cuba,5835229852.0
South America,5370120189.396
Guatemala,5320462184.0
Cambodia,5026223378.0
Libya,4637153876.0
Turkmenistan,4126925961.2
Greece,4013246030.0
Nicaragua,3877619352.0
Syria,3589241928.508
Croatia,3577329162.0
Philippines,3477867934.0
World,3428100380.7660003
Ecuador,3283657915.0
South Africa,3158812430.31
Czechia,3095282354.0
South-eastern Asia (FAO),3079978977.2
Least Developed Countries (FAO),2934807342.0
Chad,2811926912.2
Argentina,2793792678.2
Burundi,2705707639.6
Southern Africa (FAO),2674783074.7
Asia (FAO),2564967097.0
Panama,2515100743.1
Cameroon,2352710205.0
Southern Europe (FAO),2321136789.2
China,2316512609.4
Thailand,2288743713.222
New Zealand,1952536304.6
Western Europe (FAO),1803354464.6499999
Switzerland,1748224159.81
Mexico,1730904122.0
Western Asia (FAO),1727085845.574
Southern Asia (FAO),1724445005.6
Laos,1672456240.62
Small Island Developing States (FAO),1536868504.8400002
USSR,1506996029.94
Czechoslovakia,1468231274.0
Somalia,1396099042.05
Zimbabwe,1308458838.1759999
Botswana,1285740992.0
Slovenia,1282416913.2
Jordan,1224334471.0
Togo,1188879831.26
Romania,1140206863.47
France,1072816210.0
Nepal,1042596308.0
Denmark,1036375262.0
Lower-middle-income countries,1021689620.0
Dominica,973318376.0
Pakistan,937868524.0
Africa (FAO),932322017.0
Africa,917333250.0
Spain,890850112.014
Guadeloupe,859215734.0
Low Income Food Deficit Countries (FAO),857307352.0
Russia,839462068.0
Sri Lanka,804244081.58
Japan,786834937.1
Peru,722226641.0
Namibia,708196713.0
Uganda,707746986.6
Yemen,683541574.74
Tanzania,682764695.022
Trinidad and Tobago,679650127.288
Uruguay,675221230.842
Niger,662651152.0
Uzbekistan,661751085.4
South Korea,642014071.0
Lesotho,639888904.0
Malawi,637849753.0
Grenada,598150404.5
Antigua and Barbuda,581481144.0
Yugoslavia,564540216.674
Zambia,549511545.024
Taiwan,536020421.93
Slovakia,533312148.4
Egypt,502125363.5
Upper-middle-income countries,488697269.74
United Kingdom,472413048.8
Bulgaria,457993214.0
Turkey,429997149.086
Lithuania,423507465.0
Vanuatu,420893968.776
Gabon,412288383.5
Luxembourg,404408442.0
South America (FAO),385175284.44
European Union (27),370120404.0
Net Food Importing Developing Countries (FAO),365193064.0
Democratic Republic of Congo,361298606.0
Mauritania,355956210.0
Low-income countries,354467824.0
Djibouti,345928405.0
Latvia,345310444.0
Paraguay,343675206.0
United Arab Emirates,340405172.2
Brazil,323404569.3
Eastern Europe (FAO),296698395.0
South Sudan,286251336.0
Ethiopia (former),285785161.0
Malaysia,279833603.49
Madagascar,272973792.0
Papua New Guinea,260229870.0
Benin,239691056.0
Caribbean (FAO),222050581.0
Europe,216203579.5
Senegal,212949876.75
East Timor,202776081.24
Vietnam,197593967.152
Tajikistan,189026862.636
Australia,187261873.3
Melanesia,181947992.9
Central America (FAO),177890229.0
Afghanistan,175353720.0
Ghana,173570276.06
Colombia,167889441.0
Nigeria,167009238.0
Bosnia and Herzegovina,160469601.29
Hungary,156603770.2
Sudan (former),152961025.392
Puerto Rico,149698965.0
Bhutan,149599185.0
Northern Africa (FAO),138628126.8
Oman,131787052.0
Iraq,129165137.5
Dominican Republic,118851446.2
China (FAO),118439808.72
Sao Tome and Principe,113780588.0
Algeria,107095475.2
El Salvador,100536642.0
Congo,94801400.45
Bahamas,92713177.0
Mali,92267272.8
Ukraine,91436480.0
Suriname,91029814.572
Sierra Leone,86868450.08
Middle Africa (FAO),84150662.0
Myanmar,83920226.13
Venezuela,77468232.8
North Korea,77073352.0
Iran,72410164.58
Moldova,71538527.7
New Caledonia,68068356.42
Serbia,63520613.8
Austria,60479930.6
North America,59368935.0
French Guiana,53691295.0
Serbia and Montenegro,52673962.08
Burkina Faso,50924914.55
Belize,49695255.35
Saint Vincent and the Grenadines,47003836.0
Cape Verde,42009632.0
Central Asia (FAO),41752227.7
Bangladesh,41201937.0
Honduras,36908283.82
Azerbaijan,36349198.0
Oceania (FAO),36285415.05
Portugal,34662445.0
Sudan,33015233.2
Ethiopia,29507181.32
Maldives,28823338.0
Kazakhstan,28504462.0
Indonesia,27696037.0
Canada,25242491.43
Eswatini,25208349.0
Fiji,24365702.93
Europe (FAO),24177441.5
Montenegro,23945842.0
Morocco,22554479.2
Albania,20553494.9
Northern Europe (FAO),18677887.7
North Macedonia,18439390.0
Malta,18019537.0
United States,17069181.094
Jamaica,17065743.04
India,16689892.28
