,Year,Maize
11058,1961,91388000.0
11059,1962,91604000.0
11060,1963,102093010.0
11061,1964,88504000.0
11062,1965,104216930.0
11063,1966,105861410.0
11064,1967,123458300.0
11065,1968,113022820.0
11066,1969,119055940.0
11067,1970,105471120.0
11068,1971,143420660.0
11069,1972,141733310.0
11070,1973,144041760.0
11071,1974,119420320.0
11072,1975,148361070.0
11073,1976,159751180.0
11074,1977,165234540.0
11075,1978,184613010.0
11076,1979,201383000.0
11077,1980,168647000.0
11078,1981,206222000.0
11079,1982,209180000.0
11080,1983,106030000.0
11081,1984,194880000.0
11082,1985,225453010.0
11083,1986,208943000.0
11084,1987,181142000.0
11085,1988,125194000.0
11086,1989,191319000.0
11087,1990,201532000.0
11088,1991,189867780.0
11089,1992,240719220.0
11090,1993,160985760.0
11091,1994,255294980.0
11092,1995,187969950.0
11093,1996,234517740.0
11094,1997,233864300.0
11095,1998,247882020.0
11096,1999,239548580.0
11097,2000,251853900.0
11098,2001,241376660.0
11099,2002,227766880.0
11100,2003,256229020.0
11101,2004,299875600.0
11102,2005,282262560.0
11103,2006,267502850.0
11104,2007,331177280.0
11105,2008,305911460.0
11106,2009,331921060.0
11107,2010,315617920.0
11108,2011,312788900.0
11109,2012,273192400.0
11110,2013,351271870.0
11111,2014,361091140.0
11112,2015,345486340.0
11113,2016,412262180.0
11114,2017,371096030.0
11115,2018,364262140.0
11116,2019,345962100.0
11117,2020,358447300.0
11118,2021,383943000.0
