,Year,Rice
11058,1961,7835.2
11059,1962,7835.2
11060,1963,38886.0
11061,1964,2340.0
11062,1965,35226.0
11063,1966,35226.0
11064,1967,16183.2
11065,1968,21862.0
11066,1969,27792.0
11067,1970,35226.0
11068,1971,17772.2
11069,1972,17772.2
11070,1973,17772.2
11071,1974,21137.2
11072,1975,6583614.6
11073,1976,1391.2
11074,1977,849.4
11075,1978,949.2
11076,1979,15391208.64
11077,1980,1101.4
11078,1981,29031725.44
11079,1982,36723134.0
11080,1983,9502.8
11081,1984,7613839.8
11082,1985,34564798.4
11083,1986,36723134.0
11084,1987,1101.4
11085,1988,992.0
11086,1989,949.2
11087,1990,15390964.8
11088,1991,949.2
11089,1992,33710303.2
11090,1993,1178.2
11091,1994,33407787.2
11092,1995,949.2
11093,1996,33710303.2
11094,1997,33710303.2
11095,1998,34788090.4
11096,1999,33710303.2
11097,2000,34845504.8
11098,2001,33710303.2
11099,2002,34564798.4
11100,2003,34521497.6
11101,2004,44832085.2
11102,2005,40767818.0
11103,2006,37995861.6
11104,2007,49804456.8
11105,2008,45515822.4
11106,2009,49804456.8
11107,2010,49519487.2
11108,2011,49519487.2
11109,2012,38571540.0
11110,2013,52868282.8
11111,2014,55667756.0
11112,2015,52868282.8
11113,2016,58037624.0
11114,2017,55132285.2
11115,2018,55667756.0
11116,2019,53411444.4
11117,2020,54459685.2
11118,2021,55132285.2
